genre,year,0
Soul,1962,201
Soul,1963,226
Soul,1964,350
Soul,1965,353
Soul,1966,504
Soul,1967,700
Soul,1968,698
Soul,1969,485
Soul,1970,544
Soul,1971,485
Soul,1972,499
Soul,1973,480
Soul,1974,357
Soul,1975,175
Soul,1976,158
Soul,1977,89
Soul,1978,54
Soul,1979,35
Soul,1980,61
Soul,1981,10
Soul,1982,23
Soul,1983,33
Soul,1984,41
Soul,1985,48
Soul,1986,64
Soul,1987,13
Soul,1988,11
Soul,1989,33
Soul,1991,2
Soul,1992,42
Soul,1993,18
Soul,1994,53
Soul,1995,20
Soul,1997,4
Soul,1998,29
Soul,2006,19
Soul,2007,35
Soul,2008,1
Soul,2021,1
