,date,rank,song,artist,last-week,peak-rank,weeks-on-board,genre
45,1958-08-04,46,(It's Been A Long Time) Pretty Baby,Gino & Gina,,46,1,[]
46,1958-08-04,47,I Wonder Why,Dion & The Belmonts,,47,1,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
47,1958-08-04,48,Return To Me,Dean Martin,,48,1,"['adult standards', 'easy listening', 'lounge']"
48,1958-08-04,49,All I Have To Do Is Dream,The Everly Brothers,,49,1,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
49,1958-08-04,50,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,,50,1,genre not found
50,1958-08-04,50,"Baubles, Bangles And Beads",The Kirby Stone Four,,50,1,genre not found
52,1958-08-04,53,Come Closer To Me (Acercate Mas),Nat King Cole,,53,1,"['adult standards', 'vocal jazz']"
53,1958-08-04,54,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,,54,1,"['classic italian pop', 'italian adult pop']"
54,1958-08-04,55,Let's Go Steady For The Summer,The Three G's,,55,1,"['dance pop', 'pop', 'post-teen pop']"
55,1958-08-04,56,Leroy,Jack Scott,,56,1,"['brill building pop', 'canadian rockabilly', 'deep adult standards', 'rock-and-roll', 'rockabilly']"
56,1958-08-04,57,You Need Hands,Eydie Gorme,,57,1,"['adult standards', 'bolero']"
57,1958-08-04,58,Fool's Paradise,The Crickets,,58,1,[]
58,1958-08-04,59,Young And Warm And Wonderful,Tony Bennett,,59,1,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
59,1958-08-04,60,Over And Over,Bobby Day,,60,1,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
60,1958-08-04,61,Itchy Twitchy Feeling,Bobby Hendricks,,61,1,['a cappella']
61,1958-08-04,62,For Your Love,Ed Townsend,,62,1,[]
62,1958-08-04,63,Padre,Toni Arden,,63,1,[]
63,1958-08-04,63,High School Confidential,Jerry Lee Lewis And His Pumping Piano,,63,1,[]
64,1958-08-04,65,You're Making A Mistake,The Platters,,65,1,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']"
65,1958-08-04,66,Delicious!,Jim Backus & Friend,,66,1,genre not found
66,1958-08-04,67,Big Man,The Four Preps,,67,1,"['deep adult standards', 'vocal harmony group']"
67,1958-08-04,68,Volare (Nel Blu Dipinto Di Blu),Dean Martin,,68,1,"['adult standards', 'easy listening', 'lounge']"
68,1958-08-04,69,Op,The Honeycones,,69,1,['funk']
69,1958-08-04,70,Don't Go Home,The Playmates,,70,1,['novelty']
70,1958-08-04,71,Got A Match?,Frank Gallup,,71,1,genre not found
71,1958-08-04,72,Stupid Cupid,Connie Francis,,72,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
72,1958-08-04,73,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,,73,1,[]
73,1958-08-04,74,Win Your Love For Me,Sam Cooke,,74,1,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']"
74,1958-08-04,74,Gotta Have Rain,Eydie Gorme,,74,1,"['adult standards', 'bolero']"
75,1958-08-04,76,Midnight,Paul Anka,,76,1,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
76,1958-08-04,77,Happy Years,The Diamonds,,77,1,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
77,1958-08-04,78,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,,78,1,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
78,1958-08-04,79,The Bird On My Head,David Seville,,79,1,"[""children's music""]"
79,1958-08-04,80,Johnny B. Goode,Chuck Berry,,80,1,"['adult standards', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
80,1958-08-04,81,Beautiful Delilah,Chuck Berry,,81,1,"['adult standards', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
81,1958-08-04,82,Blip Blop,Bill Doggett,,82,1,"['jazz organ', 'rhythm and blues', 'soul jazz']"
82,1958-08-04,83,Try The Impossible,Lee Andrews And The Hearts,,83,1,['doo-wop']
83,1958-08-04,84,Summertime Blues,Eddie Cochran,,84,1,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']"
85,1958-08-04,86,To Be Loved,Jackie Wilson,,86,1,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
86,1958-08-04,87,Jealousy,Kitty Wells,,87,1,"['nashville sound', 'traditional country']"
87,1958-08-04,88,Just Like In The Movies,The Upbeats,,88,1,"['breakbeat', 'brostep', 'deep dnb', 'drum and bass', 'dutch dnb', 'neurofunk']"
88,1958-08-04,89,Blue Boy,Jim Reeves,,89,1,"['adult standards', 'nashville sound']"
89,1958-08-04,90,Stay,The Ames Brothers,,90,1,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
90,1958-08-04,91,The Purple People Eater Meets The Witch Doctor,Joe South,,91,1,"['bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat']"
91,1958-08-04,92,Bird Dog,The Everly Brothers,,92,1,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
92,1958-08-04,93,Are You Really Mine,Jimmie Rodgers,,93,1,"['brill building pop', 'yodeling']"
93,1958-08-04,94,She Was Only Seventeen (He Was One Year More),Marty Robbins,,94,1,"['cowboy western', 'nashville sound']"
94,1958-08-04,95,Little Mary,Fats Domino,,95,1,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly', 'soul']"
96,1958-08-04,97,I Believe In You,Robert & Johnny,,97,1,[]
97,1958-08-04,98,Little Serenade,The Ames Brothers,,98,1,"['adult standards', 'deep adult standards', 'easy listening', 'vocal harmony group']"
98,1958-08-04,99,I'll Get By (As Long As I Have You),Billy Williams,,99,1,"['alternative r&b', 'chicago rap', 'hip hop', 'rap', 'underground hip hop']"
99,1958-08-04,100,Judy,Frankie Vaughan,,100,1,['vintage hollywood']
141,1958-08-11,42,Susie Darlin',Robin Luke,,42,1,"['disco house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']"
142,1958-08-11,43,Devoted To You,The Everly Brothers,,43,1,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
150,1958-08-11,51,Alone With You,Faron Young,,51,1,"['classic country pop', 'honky tonk', 'traditional country']"
157,1958-08-11,58,Drip Drop,The Drifters,,58,1,"['adult standards', 'brill building pop', 'bubblegum pop', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
166,1958-08-11,67,Lean Jean,Bill Haley And His Comets,,67,1,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']"
172,1958-08-11,73,Tears On My Pillow,Little Anthony And The Imperials,,73,1,"['brill building pop', 'classic soul', 'doo-wop', 'motown', 'rhythm and blues']"
175,1958-08-11,76,Just Married,Marty Robbins,,76,1,"['cowboy western', 'nashville sound']"
177,1958-08-11,78,Harvey's Got A Girl Friend,Royal Teens,,78,1,[]
181,1958-08-11,81,Looking Back,Nat King Cole,,81,1,"['adult standards', 'vocal jazz']"
183,1958-08-11,84,You're A Sweetheart,Little Willie John,,84,1,"['rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']"
184,1958-08-11,85,The Wizard,Jimmie Rodgers,,85,1,"['brill building pop', 'yodeling']"
185,1958-08-11,86,Moonlight Bay,The Drifters,,86,1,"['adult standards', 'brill building pop', 'bubblegum pop', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
186,1958-08-11,87,Come In Stranger,Johnny Cash And The Tennessee Two,,87,1,"['classic country pop', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']"
187,1958-08-11,88,Cerveza,Boots Brown And His Blockbusters,,88,1,[]
191,1958-08-11,92,La Paloma,Billy Vaughn And His Orchestra,,92,1,[]
193,1958-08-11,94,Midnighter,The Champs,,94,1,"['rock-and-roll', 'rockabilly']"
